                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.47917,                0.69918,                0.38341,                0.87233,                 0.8593,                 0.8647,                0.88852,                0.72905,                0.86536,                0.85279,                0.88523,                0.65423,                0.53381,                 1.2403,                0.51186,                0.98489,              0.0010496,              0.0010496,              0.0010496
                     26,                 0.4529,                0.68216,                 0.3914,                0.87341,                0.86146,                0.86076,                0.88421,                0.72298,                0.86297,                0.84201,                0.87079,                0.63071,                0.49926,                 1.1966,                0.53405,                0.95394,                0.00101,                0.00101,                0.00101
                     27,                  0.466,                0.71529,                0.43498,                0.88477,                0.87175,                0.83489,                0.86777,                0.70851,                0.88443,                0.80919,                0.85528,                0.61105,                0.48931,                 1.0966,                0.51518,                0.94186,              0.0009704,              0.0009704,              0.0009704
                     28,                0.44298,                 0.6688,                0.39422,                 0.8701,                0.84851,                0.85138,                0.87619,                 0.7192,                0.86525,                0.84388,                0.87008,                0.66381,                0.55027,                 1.2524,                0.55796,                 1.0196,              0.0009308,              0.0009308,              0.0009308
                     29,                0.48168,                0.71297,                 0.4275,                0.90512,                0.88117,                0.85185,                0.89128,                0.74178,                0.88341,                0.84189,                0.88528,                0.67142,                0.51041,                 1.1442,                0.51913,                0.95366,              0.0008912,              0.0008912,              0.0008912
                     30,                 0.4644,                0.68913,                0.38105,                0.87094,                0.87884,                0.85698,                0.89504,                0.74819,                0.88038,                0.83216,                0.88211,                0.66039,                0.48538,                 1.1516,                0.50827,                0.94612,              0.0008516,              0.0008516,              0.0008516
                     31,                0.46078,                0.69137,                0.38699,                0.86573,                0.88154,                0.86175,                0.89511,                0.75243,                 0.8773,                0.83732,                 0.8823,                0.64642,                0.45179,                 1.1159,                0.48249,                0.92967,               0.000812,               0.000812,               0.000812
                     32,                0.44379,                0.67022,                0.37549,                 0.8712,                0.87737,                0.87208,                0.90002,                 0.7639,                0.87665,                0.84628,                0.88292,                0.66584,                0.46309,                 1.0938,                0.47286,                0.92494,              0.0007724,              0.0007724,              0.0007724
                     33,                  0.447,                0.65238,                0.36565,                0.86373,                0.88136,                0.84983,                0.89458,                0.75656,                0.86948,                0.82419,                0.86698,                0.64084,                0.47368,                 1.2755,                0.45369,                0.93287,              0.0007328,              0.0007328,              0.0007328
                     34,                0.44427,                0.66078,                0.35144,                0.86307,                 0.8946,                0.85556,                0.89962,                0.76491,                0.88596,                0.83638,                0.88631,                0.67247,                0.45538,                0.92347,                0.40965,                0.91274,              0.0006932,              0.0006932,              0.0006932
                     35,                0.43201,                0.64452,                0.34446,                0.85038,                 0.8974,                0.85842,                0.90075,                0.76787,                0.89179,                0.84482,                0.89281,                0.68816,                0.45054,                 0.8446,                0.39358,                0.90261,              0.0006536,              0.0006536,              0.0006536
                     36,                0.41094,                0.62653,                0.34316,                0.85887,                0.89187,                0.85232,                0.89899,                0.76374,                0.90206,                0.82185,                0.88694,                 0.6693,                0.44123,                0.84233,                0.38281,                0.92014,               0.000614,               0.000614,               0.000614
                     37,                0.40477,                0.58666,                0.33135,                0.85322,                0.87219,                0.86404,                0.90252,                0.76537,                0.90428,                0.81939,                0.89001,                 0.6666,                0.41511,                0.83345,                0.37996,                0.90491,              0.0005744,              0.0005744,              0.0005744
                     38,                0.39404,                0.58397,                 0.3209,                0.83962,                0.87117,                0.87904,                0.90303,                0.76583,                0.87795,                 0.8465,                0.89014,                0.67706,                0.41208,                0.88782,                 0.3921,                 0.9037,              0.0005348,              0.0005348,              0.0005348
                     39,                0.40907,                0.58594,                 0.3269,                0.85571,                0.87825,                 0.8692,                0.90275,                0.77068,                0.88948,                0.83263,                0.88744,                0.68167,                0.41676,                0.87261,                0.39543,                 0.9046,              0.0004952,              0.0004952,              0.0004952
                     40,                0.39486,                 0.5537,                0.30282,                0.84128,                0.89324,                0.85748,                0.90784,                0.78295,                0.88843,                0.83826,                0.89358,                0.68216,                0.43813,                0.83339,                0.38303,                0.92761,              0.0004556,              0.0004556,              0.0004556
                     41,                0.40091,                0.61217,                 0.3378,                0.85167,                0.89894,                0.85701,                0.90546,                0.77783,                0.88991,                0.84132,                0.89548,                0.68491,                0.44487,                0.80404,                0.38691,                0.92897,               0.000416,               0.000416,               0.000416
                     42,                0.37604,                0.54267,                0.29399,                0.82995,                0.89758,                0.85607,                0.90257,                0.77751,                0.89078,                0.84154,                0.89255,                0.68465,                0.42187,                 0.7798,                0.38955,                0.92465,              0.0003764,              0.0003764,              0.0003764
                     43,                0.37776,                0.57386,                0.32067,                0.83836,                0.89352,                 0.8556,                0.90482,                0.78168,                0.88713,                0.83591,                0.89361,                0.68868,                0.41416,                0.77331,                0.37684,                0.92519,              0.0003368,              0.0003368,              0.0003368
                     44,                0.36647,                0.57153,                0.29392,                0.82877,                0.87767,                0.86732,                0.90222,                0.78262,                0.88002,                0.83075,                0.88637,                0.68311,                0.41412,                0.77723,                0.37477,                 0.9187,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.3542,                0.54323,                0.29336,                0.82104,                0.88787,                 0.8617,                0.90615,                0.78868,                0.89058,                0.83188,                0.89095,                0.67945,                0.41267,                0.78136,                0.36811,                0.91907,              0.0002576,              0.0002576,              0.0002576
                     46,                0.35287,                0.52722,                0.27806,                0.82151,                  0.893,                0.85688,                 0.9062,                  0.792,                0.89198,                0.83404,                0.89409,                0.67723,                0.41308,                 0.7602,                0.36805,                0.92306,               0.000218,               0.000218,               0.000218
                     47,                0.37282,                0.55164,                0.28399,                0.82645,                0.87907,                0.86826,                0.90616,                0.79246,                0.90132,                0.83216,                0.89697,                 0.6836,                0.39932,                0.75525,                0.37134,                0.90884,              0.0001784,              0.0001784,              0.0001784
                     48,                0.35309,                0.53322,                0.28078,                0.82636,                0.89335,                0.85935,                0.90912,                 0.7939,                0.89471,                0.83732,                0.90128,                0.69153,                0.38951,                0.74876,                 0.3606,                0.89987,              0.0001388,              0.0001388,              0.0001388
                     49,                0.34515,                0.51925,                0.27026,                0.82808,                0.88764,                0.86685,                 0.9112,                0.79598,                0.90041,                0.83732,                0.90421,                0.69492,                0.38287,                0.73953,                0.35466,                0.89594,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.34782,                0.52029,                0.26053,                0.82347,                0.88815,                 0.8711,                  0.912,                0.79829,                0.89306,                0.84154,                0.90302,                0.69825,                0.37766,                0.73763,                0.34848,                0.89433,               5.96e-05,               5.96e-05,               5.96e-05
