Cu-Ni-Powder_250x_10_SE_png.rf.cd93ec4589ad8f4e412cb1ec0e805016 (MASKRCNN): Detections=11, IoU=0.8906, Prec=0.9697, Rec=0.9156, Morph={'area': {'RMSE': 1014.9240903096689, 'Mean of Predictions': 9470.545454545454, 'Mean of Ground Truth': 9931.454545454546, 'R2': 0.9740315064262605}, 'area_convex': {'RMSE': 1238.482245624568, 'Mean of Predictions': 10780.636363636364, 'Mean of Ground Truth': 11589.818181818182, 'R2': 0.9745260906994643}, 'major_axis_length': {'RMSE': 6.306332165467478, 'Mean of Predictions': 144.49690425204335, 'Mean of Ground Truth': 146.5018830501144, 'R2': 0.9813765803778025}, 'minor_axis_length': {'RMSE': 10.380843956266766, 'Mean of Predictions': 85.77184307811528, 'Mean of Ground Truth': 90.05029355094511, 'R2': 0.938245467991227}, 'eccentricity': {'RMSE': 0.05680581624853185, 'Mean of Predictions': 0.7671335634884724, 'Mean of Ground Truth': 0.7559956912819167, 'R2': 0.8763566870350689}, 'equivalent_diameter': {'RMSE': 6.021907607674051, 'Mean of Predictions': 103.7619805081507, 'Mean of Ground Truth': 106.71994585278013, 'R2': 0.9711272873498741}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.05922078126394404, 'Mean of Predictions': 0.604413924560025, 'Mean of Ground Truth': 0.6006094640572036, 'R2': 0.4291463440423715}, 'feret_diameter_max': {'RMSE': 6.192030915140379, 'Mean of Predictions': 150.5035944286324, 'Mean of Ground Truth': 153.86121536602639, 'R2': 0.9831547758924621}, 'perimeter': {'RMSE': 42.585061307859895, 'Mean of Predictions': 431.4567162730328, 'Mean of Ground Truth': 459.20558809605427, 'R2': 0.9462035473352384}, 'solidity': {'RMSE': 0.02709083317382776, 'Mean of Predictions': 0.8963844456299509, 'Mean of Ground Truth': 0.8775694987150355, 'R2': 0.7988990222748795}}
S02_01_SE1_1000X16_png.rf.1fab57db91783570e9210e6bcb342f81 (MASKRCNN): Detections=20, IoU=0.8128, Prec=0.9262, Rec=0.8326, Morph={'area': {'RMSE': 3661.2836341917023, 'Mean of Predictions': 26823.85, 'Mean of Ground Truth': 27963.8, 'R2': 0.9814726742102677}, 'area_convex': {'RMSE': 4024.3151404928517, 'Mean of Predictions': 27680.8, 'Mean of Ground Truth': 28998.05, 'R2': 0.9785134084809763}, 'major_axis_length': {'RMSE': 29.68814585894629, 'Mean of Predictions': 197.7940880263323, 'Mean of Ground Truth': 205.94401218245343, 'R2': 0.8985550029228164}, 'minor_axis_length': {'RMSE': 15.53507168263712, 'Mean of Predictions': 140.32319642827616, 'Mean of Ground Truth': 146.16082932178296, 'R2': 0.9659995090477113}, 'eccentricity': {'RMSE': 0.04840151055979935, 'Mean of Predictions': 0.6487955571041029, 'Mean of Ground Truth': 0.6268612398525041, 'R2': 0.9572678811490427}, 'equivalent_diameter': {'RMSE': 21.473061253775395, 'Mean of Predictions': 161.34336677002602, 'Mean of Ground Truth': 168.46131978157138, 'R2': 0.9361845188402844}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 0.95, 'Mean of Ground Truth': 0.95, 'R2': 1.0}, 'extent': {'RMSE': 0.08099161170381534, 'Mean of Predictions': 0.6658997878774815, 'Mean of Ground Truth': 0.6888242650920304, 'R2': 0.7796815882818201}, 'feret_diameter_max': {'RMSE': 42.931893973995564, 'Mean of Predictions': 204.00942041527858, 'Mean of Ground Truth': 216.51747346752776, 'R2': 0.8065289131113975}, 'perimeter': {'RMSE': 102.62151871262499, 'Mean of Predictions': 590.5456995273602, 'Mean of Ground Truth': 624.1727070905565, 'R2': 0.8781698804165637}, 'solidity': {'RMSE': 0.041166809292531865, 'Mean of Predictions': 0.8967521972996181, 'Mean of Ground Truth': 0.9063017978055316, 'R2': 0.9620640670843855}}
S02_02_SE1_300X18_png.rf.1a16e8c5f4e008cb2fc48c98b35778fb (MASKRCNN): Detections=100, IoU=0.8491, Prec=0.9601, Rec=0.8826, Morph={'area': {'RMSE': 935.7940745698276, 'Mean of Predictions': 4499.13, 'Mean of Ground Truth': 4803.36, 'R2': 0.8508990814238616}, 'area_convex': {'RMSE': 1025.3302784956659, 'Mean of Predictions': 4669.48, 'Mean of Ground Truth': 5004.22, 'R2': 0.8365088920917935}, 'major_axis_length': {'RMSE': 12.97444115815324, 'Mean of Predictions': 82.81824246368139, 'Mean of Ground Truth': 85.18268464962097, 'R2': 0.6338611900681179}, 'minor_axis_length': {'RMSE': 7.682675215148737, 'Mean of Predictions': 66.30121360198831, 'Mean of Ground Truth': 69.56425122324629, 'R2': 0.8448722649052387}, 'eccentricity': {'RMSE': 0.14404718474613654, 'Mean of Predictions': 0.542056384038116, 'Mean of Ground Truth': 0.5026202761870945, 'R2': 0.5249022671413488}, 'equivalent_diameter': {'RMSE': 9.005426141467165, 'Mean of Predictions': 72.71241178663524, 'Mean of Ground Truth': 75.86650630062871, 'R2': 0.7747918704374008}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.07312019973894252, 'Mean of Predictions': 0.727677391450314, 'Mean of Ground Truth': 0.7276869429895236, 'R2': -1.0677652494386485}, 'feret_diameter_max': {'RMSE': 13.32916058528692, 'Mean of Predictions': 85.66734638638427, 'Mean of Ground Truth': 89.68813549881595, 'R2': 0.6561703617541779}, 'perimeter': {'RMSE': 41.22110635561316, 'Mean of Predictions': 256.8716852718958, 'Mean of Ground Truth': 265.94618454126635, 'R2': 0.6426754382600738}, 'solidity': {'RMSE': 0.05915189952076958, 'Mean of Predictions': 0.9540476315473625, 'Mean of Ground Truth': 0.9612859981393328, 'R2': -4.733088238318438}}
S02_03_SE1_1000X24_png.rf.61ceee7fe0a4f4ccabd61c1e71524baf (MASKRCNN): Detections=26, IoU=0.7453, Prec=0.9000, Rec=0.7610, Morph={'area': {'RMSE': 11394.131026372912, 'Mean of Predictions': 20888.96153846154, 'Mean of Ground Truth': 24613.653846153848, 'R2': 0.7310429007561674}, 'area_convex': {'RMSE': 12153.759432626344, 'Mean of Predictions': 21835.03846153846, 'Mean of Ground Truth': 25781.46153846154, 'R2': 0.7140268137222285}, 'major_axis_length': {'RMSE': 55.060489876038666, 'Mean of Predictions': 180.4796971690071, 'Mean of Ground Truth': 198.64954091796673, 'R2': 0.5319620826731445}, 'minor_axis_length': {'RMSE': 40.252557437168335, 'Mean of Predictions': 119.17815238872214, 'Mean of Ground Truth': 135.31186004737017, 'R2': 0.7448986858388559}, 'eccentricity': {'RMSE': 0.06312473220353558, 'Mean of Predictions': 0.6995714755350207, 'Mean of Ground Truth': 0.6680239963098725, 'R2': 0.9356714370764709}, 'equivalent_diameter': {'RMSE': 45.91537555047958, 'Mean of Predictions': 140.7204317499648, 'Mean of Ground Truth': 158.02101673200818, 'R2': 0.6689576820559817}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 0.9615384615384616, 'Mean of Ground Truth': 0.9615384615384616, 'R2': 1.0}, 'extent': {'RMSE': 0.09444872879518351, 'Mean of Predictions': 0.6353331928848932, 'Mean of Ground Truth': 0.6779478857098907, 'R2': 0.6705920455734824}, 'feret_diameter_max': {'RMSE': 54.01344782857706, 'Mean of Predictions': 185.33578187528698, 'Mean of Ground Truth': 205.5336641148478, 'R2': 0.5445879496233019}, 'perimeter': {'RMSE': 167.0246346648038, 'Mean of Predictions': 526.8424641826225, 'Mean of Ground Truth': 588.6031465409749, 'R2': 0.6026317670487485}, 'solidity': {'RMSE': 0.03329142590810357, 'Mean of Predictions': 0.8977131468562229, 'Mean of Ground Truth': 0.9059908380848907, 'R2': 0.969127067249746}}
S04_01_SE1_1000X45_png.rf.baa89207016e4da58f6ec0ab4f2b008f (MASKRCNN): Detections=100, IoU=0.8601, Prec=0.9694, Rec=0.8845, Morph={'area': {'RMSE': 547.1221527227718, 'Mean of Predictions': 5172.52, 'Mean of Ground Truth': 5384.15, 'R2': 0.9812681104939919}, 'area_convex': {'RMSE': 595.3651988485723, 'Mean of Predictions': 5387.26, 'Mean of Ground Truth': 5590.76, 'R2': 0.9795569621694834}, 'major_axis_length': {'RMSE': 6.25163271580497, 'Mean of Predictions': 88.19810569427813, 'Mean of Ground Truth': 89.73334899960699, 'R2': 0.9588731784102428}, 'minor_axis_length': {'RMSE': 6.442664065502472, 'Mean of Predictions': 67.69855106703571, 'Mean of Ground Truth': 70.38368289028122, 'R2': 0.9466848485602599}, 'eccentricity': {'RMSE': 0.12001873222768598, 'Mean of Predictions': 0.5851699378091745, 'Mean of Ground Truth': 0.5447473318470201, 'R2': 0.7019656223100221}, 'equivalent_diameter': {'RMSE': 5.468393296474213, 'Mean of Predictions': 75.35576877904342, 'Mean of Ground Truth': 78.00957126203588, 'R2': 0.9611554061995997}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.09128325868033169, 'Mean of Predictions': 0.7187569092048841, 'Mean of Ground Truth': 0.7406034318990646, 'R2': -1.772605632042385}, 'feret_diameter_max': {'RMSE': 6.4054094000636805, 'Mean of Predictions': 90.59194842682078, 'Mean of Ground Truth': 92.62712064805999, 'R2': 0.9592602482961763}, 'perimeter': {'RMSE': 19.175948915026947, 'Mean of Predictions': 268.4480012826966, 'Mean of Ground Truth': 272.1238800674834, 'R2': 0.9616300641100178}, 'solidity': {'RMSE': 0.05032024886474232, 'Mean of Predictions': 0.9491737376824356, 'Mean of Ground Truth': 0.9632178256554081, 'R2': -2.7808925768910404}}
S05_02_SE1_300X59_png.rf.ab223b36432318e07ad4d0e7c1d7dea6 (MASKRCNN): Detections=88, IoU=0.7752, Prec=0.9512, Rec=0.8072, Morph={'area': {'RMSE': 1621.716563902695, 'Mean of Predictions': 4577.227272727273, 'Mean of Ground Truth': 5250.545454545455, 'R2': 0.6464598953531651}, 'area_convex': {'RMSE': 1918.886659332342, 'Mean of Predictions': 4782.875, 'Mean of Ground Truth': 5564.909090909091, 'R2': 0.5611728006373169}, 'major_axis_length': {'RMSE': 28.225109869863058, 'Mean of Predictions': 86.63665460815288, 'Mean of Ground Truth': 96.06223205350629, 'R2': 0.05991894313508217}, 'minor_axis_length': {'RMSE': 11.058838486059928, 'Mean of Predictions': 63.97038937363513, 'Mean of Ground Truth': 69.20229865260147, 'R2': 0.748132751354334}, 'eccentricity': {'RMSE': 0.15386819532782225, 'Mean of Predictions': 0.6074537138428047, 'Mean of Ground Truth': 0.5964912901969365, 'R2': 0.567788299187586}, 'equivalent_diameter': {'RMSE': 14.973064167565118, 'Mean of Predictions': 72.27223529832523, 'Mean of Ground Truth': 78.93827139180028, 'R2': 0.5061307361642471}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.09877789393890461, 'Mean of Predictions': 0.6999141601311201, 'Mean of Ground Truth': 0.7092939178253478, 'R2': -0.8072218292161344}, 'feret_diameter_max': {'RMSE': 27.698335962416127, 'Mean of Predictions': 89.15561247112447, 'Mean of Ground Truth': 99.49743987646008, 'R2': 0.08369216359435228}, 'perimeter': {'RMSE': 72.8906500314881, 'Mean of Predictions': 259.60588007444034, 'Mean of Ground Truth': 288.50868653289746, 'R2': 0.21962706457014902}, 'solidity': {'RMSE': 0.07224860684998308, 'Mean of Predictions': 0.941425432801093, 'Mean of Ground Truth': 0.9483413843336013, 'R2': -1.7805828382285402}}
S05_03_SE1_1000X65_png.rf.b1b275b60d329ab4fae1100a32dcfd4e (MASKRCNN): Detections=11, IoU=0.7028, Prec=0.9710, Rec=0.7194, Morph={'area': {'RMSE': 48577.97040747062, 'Mean of Predictions': 43380.63636363636, 'Mean of Ground Truth': 63816.63636363636, 'R2': 0.22021853225911114}, 'area_convex': {'RMSE': 51230.555017134415, 'Mean of Predictions': 45090.72727272727, 'Mean of Ground Truth': 67130.63636363637, 'R2': 0.20107609640298407}, 'major_axis_length': {'RMSE': 132.60009540154363, 'Mean of Predictions': 284.4349429523285, 'Mean of Ground Truth': 348.828266915675, 'R2': -0.6368065664560205}, 'minor_axis_length': {'RMSE': 100.22474728445522, 'Mean of Predictions': 166.53634404351504, 'Mean of Ground Truth': 212.0260324468498, 'R2': 0.4115514373257073}, 'eccentricity': {'RMSE': 0.13513312841748207, 'Mean of Predictions': 0.7042560471495828, 'Mean of Ground Truth': 0.7444605102757392, 'R2': 0.6074094743599564}, 'equivalent_diameter': {'RMSE': 112.62326567352105, 'Mean of Predictions': 204.95543007965856, 'Mean of Ground Truth': 258.9818483671113, 'R2': 0.10564370629241115}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.10807026778186585, 'Mean of Predictions': 0.7084392758406822, 'Mean of Ground Truth': 0.7385088976428182, 'R2': -3.128024163245363}, 'feret_diameter_max': {'RMSE': 139.77366105832598, 'Mean of Predictions': 288.766464887208, 'Mean of Ground Truth': 358.9015814153681, 'R2': -0.9227600782802139}, 'perimeter': {'RMSE': 439.5637009152032, 'Mean of Predictions': 794.7261507285817, 'Mean of Ground Truth': 1012.2923023880562, 'R2': -0.2765180927935449}, 'solidity': {'RMSE': 0.06038287718283439, 'Mean of Predictions': 0.9468943058151897, 'Mean of Ground Truth': 0.9499282955857553, 'R2': -1.5197106608158601}}
S07_03_SE1_1250X92_png.rf.03fe49af01d0314c26c63cbf31c6f316 (MASKRCNN): Detections=16, IoU=0.6112, Prec=0.9771, Rec=0.6221, Morph={'area': {'RMSE': 17406.65904187245, 'Mean of Predictions': 30705.5, 'Mean of Ground Truth': 40090.25, 'R2': 0.8829646921465759}, 'area_convex': {'RMSE': 18467.57491016349, 'Mean of Predictions': 32375.5, 'Mean of Ground Truth': 42990.0625, 'R2': 0.8849051772587544}, 'major_axis_length': {'RMSE': 128.4907653902067, 'Mean of Predictions': 217.68179019137477, 'Mean of Ground Truth': 294.49782693950885, 'R2': 0.050832708251739356}, 'minor_axis_length': {'RMSE': 59.95043956123159, 'Mean of Predictions': 119.21895475517931, 'Mean of Ground Truth': 151.44432494308884, 'R2': 0.6446663066653365}, 'eccentricity': {'RMSE': 0.23516839337381815, 'Mean of Predictions': 0.7865140497443786, 'Mean of Ground Truth': 0.7622462703303918, 'R2': 0.07741835699816224}, 'equivalent_diameter': {'RMSE': 78.80110223139998, 'Mean of Predictions': 152.81174997249485, 'Mean of Ground Truth': 197.82246767878814, 'R2': 0.4786552511982819}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.08835475379031026, 'Mean of Predictions': 0.6819158721365437, 'Mean of Ground Truth': 0.6934963299828569, 'R2': 0.1499094887614708}, 'feret_diameter_max': {'RMSE': 120.01455610307934, 'Mean of Predictions': 224.3477572398947, 'Mean of Ground Truth': 299.28633140969674, 'R2': 0.2333522541556745}, 'perimeter': {'RMSE': 323.66241644105406, 'Mean of Predictions': 618.8204271903313, 'Mean of Ground Truth': 823.8768529695151, 'R2': 0.36173286209251887}, 'solidity': {'RMSE': 0.06009385307495865, 'Mean of Predictions': 0.921344527634848, 'Mean of Ground Truth': 0.915363335651236, 'R2': -0.27693090932152886}}
Sc1Tile_001-002-000_0-000_png.rf.05bb96317364c2a84f4eb06582dde5e9 (MASKRCNN): Detections=100, IoU=0.8892, Prec=0.9735, Rec=0.9127, Morph={'area': {'RMSE': 3870.354738263665, 'Mean of Predictions': 6688.36, 'Mean of Ground Truth': 7575.14, 'R2': 0.6234458322033078}, 'area_convex': {'RMSE': 4489.548205554764, 'Mean of Predictions': 6883.03, 'Mean of Ground Truth': 7966.34, 'R2': 0.5668810111125133}, 'major_axis_length': {'RMSE': 26.73200250539365, 'Mean of Predictions': 94.22675675304157, 'Mean of Ground Truth': 99.60611449977321, 'R2': 0.6186045523270121}, 'minor_axis_length': {'RMSE': 18.30440608891556, 'Mean of Predictions': 80.58664928688955, 'Mean of Ground Truth': 85.74152664164173, 'R2': 0.7292693781020426}, 'eccentricity': {'RMSE': 0.1286742561794267, 'Mean of Predictions': 0.4293230301782432, 'Mean of Ground Truth': 0.4088603012384273, 'R2': 0.5910864631464254}, 'equivalent_diameter': {'RMSE': 20.11192500280942, 'Mean of Predictions': 85.91966940774728, 'Mean of Ground Truth': 90.98567499399796, 'R2': 0.7040121463649909}, 'euler_number': {'RMSE': 0.3, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 0.95, 'R2': -0.02857142857142847}, 'extent': {'RMSE': 0.07042047561537572, 'Mean of Predictions': 0.7682922219119886, 'Mean of Ground Truth': 0.7349012683108672, 'R2': -0.7664531817248648}, 'feret_diameter_max': {'RMSE': 27.7543757444483, 'Mean of Predictions': 96.94609771749903, 'Mean of Ground Truth': 103.75919312911559, 'R2': 0.6224677715717906}, 'perimeter': {'RMSE': 102.90362525575287, 'Mean of Predictions': 295.3016592753425, 'Mean of Ground Truth': 325.01073970103823, 'R2': 0.5269264480947966}, 'solidity': {'RMSE': 0.056452345042327955, 'Mean of Predictions': 0.9680197511474675, 'Mean of Ground Truth': 0.957791767531538, 'R2': -1.6834303795886894}}
TruForm174-2_00-37_500X16_png.rf.17ddf81ab4dd63c5ce6f66654a48c5b4 (MASKRCNN): Detections=70, IoU=0.8171, Prec=0.9541, Rec=0.8505, Morph={'area': {'RMSE': 1796.5246250946377, 'Mean of Predictions': 6163.414285714286, 'Mean of Ground Truth': 6840.428571428572, 'R2': 0.6383492291557255}, 'area_convex': {'RMSE': 1931.7154885156945, 'Mean of Predictions': 6379.9, 'Mean of Ground Truth': 7101.114285714286, 'R2': 0.6174985978584591}, 'major_axis_length': {'RMSE': 18.28424646104243, 'Mean of Predictions': 100.90947173354311, 'Mean of Ground Truth': 106.778896244923, 'R2': 0.40456047276801}, 'minor_axis_length': {'RMSE': 13.966631358056343, 'Mean of Predictions': 75.316563006234, 'Mean of Ground Truth': 80.90679277796195, 'R2': 0.6565461399117494}, 'eccentricity': {'RMSE': 0.1240077462701925, 'Mean of Predictions': 0.6101226714687005, 'Mean of Ground Truth': 0.5607099653630551, 'R2': 0.7247906177721213}, 'equivalent_diameter': {'RMSE': 14.54833600947564, 'Mean of Predictions': 85.02370338198314, 'Mean of Ground Truth': 90.63089005489425, 'R2': 0.5728870550388082}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.0815039828276128, 'Mean of Predictions': 0.7210173621558829, 'Mean of Ground Truth': 0.7323640753700271, 'R2': -0.8417783758242428}, 'feret_diameter_max': {'RMSE': 19.564880150717553, 'Mean of Predictions': 103.84204677451181, 'Mean of Ground Truth': 111.38839094316612, 'R2': 0.33287637001958126}, 'perimeter': {'RMSE': 56.30048547254387, 'Mean of Predictions': 302.4267211172362, 'Mean of Ground Truth': 323.37896445606805, 'R2': 0.4157118799781371}, 'solidity': {'RMSE': 0.039880103409813086, 'Mean of Predictions': 0.9544727019205623, 'Mean of Ground Truth': 0.9614630664193585, 'R2': 0.06660710883282672}}

(MASKRCNN) Overall: Mean IoU=0.7606, Mean Prec=0.9535, Mean Rec=0.7873, Overall Morph={'area': {'RMSE': 8225.883362015707, 'Mean of Predictions': 13656.11138213271, 'Mean of Ground Truth': 17304.180118401513, 'R2': 0.6183523051294635}, 'area_convex': {'RMSE': 9552.695288500223, 'Mean of Predictions': 14461.07242779209, 'Mean of Ground Truth': 18907.056846885484, 'R2': 0.6079989359852014}, 'major_axis_length': {'RMSE': 48.04471683297517, 'Mean of Predictions': 139.39499988039307, 'Mean of Ground Truth': 162.00780070921525, 'R2': 0.44662596345427297}, 'minor_axis_length': {'RMSE': 29.7798789212447, 'Mean of Predictions': 91.16837538875363, 'Mean of Ground Truth': 105.08800917527246, 'R2': 0.5648990964812797}, 'eccentricity': {'RMSE': 0.12497314518996457, 'Mean of Predictions': 0.6711466868266552, 'Mean of Ground Truth': 0.6547620775041617, 'R2': 0.5205047290562054}, 'equivalent_diameter': {'RMSE': 33.393994985018196, 'Mean of Predictions': 107.35639367317117, 'Mean of Ground Truth': 123.7008590845503, 'R2': 0.533021703217589}, 'euler_number': {'RMSE': 0.030249857033260462, 'Mean of Predictions': 0.9955769230769231, 'Mean of Ground Truth': 0.9907513416815743, 'R2': 0.8973809523809523}, 'extent': {'RMSE': 0.09256590426393199, 'Mean of Predictions': 0.6736708091785613, 'Mean of Ground Truth': 0.6780391776516659, 'R2': -0.633904578741004}, 'feret_diameter_max': {'RMSE': 49.18108094644724, 'Mean of Predictions': 143.07995614645654, 'Mean of Ground Truth': 167.7287053367985, 'R2': 0.4262679889648477}, 'perimeter': {'RMSE': 166.80900679899415, 'Mean of Predictions': 410.3720500190322, 'Mean of Ground Truth': 495.5049205913586, 'R2': 0.4454711933853428}, 'solidity': {'RMSE': 0.063661040758816, 'Mean of Predictions': 0.9193453264774958, 'Mean of Ground Truth': 0.9167430092633337, 'R2': -0.8421093656276076}}
