Cu-Ni-Powder_250x_10_SE_png.rf.cd93ec4589ad8f4e412cb1ec0e805016 (YOLO): Detections=13, IoU=0.7664, Prec=0.8522, Rec=0.8265, Morph={'area': {'RMSE': 3497.351613391526, 'Mean of Predictions': 8734.076923076924, 'Mean of Ground Truth': 9645.76923076923, 'R2': 0.722283303550679}, 'area_convex': {'RMSE': 4380.967762773602, 'Mean of Predictions': 10193.76923076923, 'Mean of Ground Truth': 11331.846153846154, 'R2': 0.711093482432374}, 'major_axis_length': {'RMSE': 17.55644309370922, 'Mean of Predictions': 137.47096558400207, 'Mean of Ground Truth': 137.44398632356962, 'R2': 0.9103844887691784}, 'minor_axis_length': {'RMSE': 27.40362448091441, 'Mean of Predictions': 78.65672333731638, 'Mean of Ground Truth': 87.09567019791203, 'R2': 0.6730295641182921}, 'eccentricity': {'RMSE': 0.11052932909177754, 'Mean of Predictions': 0.7293537067557943, 'Mean of Ground Truth': 0.6849576213391975, 'R2': 0.8065713851132302}, 'equivalent_diameter': {'RMSE': 20.502819628535285, 'Mean of Predictions': 96.53004599928046, 'Mean of Ground Truth': 101.33172152530163, 'R2': 0.791201220185813}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 0.9230769230769231, 'Mean of Ground Truth': 0.9230769230769231, 'R2': 1.0}, 'extent': {'RMSE': 0.04885307940200689, 'Mean of Predictions': 0.5819400065962956, 'Mean of Ground Truth': 0.5552176871110623, 'R2': 0.9227508119707597}, 'feret_diameter_max': {'RMSE': 20.733004583769223, 'Mean of Predictions': 142.2704520341402, 'Mean of Ground Truth': 144.4517644251021, 'R2': 0.8849084722083534}, 'perimeter': {'RMSE': 126.33857301720617, 'Mean of Predictions': 412.79042884136317, 'Mean of Ground Truth': 444.80637393751203, 'R2': 0.6822275915632536}, 'solidity': {'RMSE': 0.0277341380973722, 'Mean of Predictions': 0.8027167352172075, 'Mean of Ground Truth': 0.8052154579331228, 'R2': 0.9865994161197345}}
Cu-Ni-Powder_250x_1_SE_V1_png.rf.675fe4943c221bb28cfe029af5482897 (YOLO): Detections=104, IoU=0.6997, Prec=0.8227, Rec=0.8280, Morph={'area': {'RMSE': 2720.3065455795745, 'Mean of Predictions': 4950.8942307692305, 'Mean of Ground Truth': 5324.0192307692305, 'R2': 0.7444596566263209}, 'area_convex': {'RMSE': 4157.60517698498, 'Mean of Predictions': 6450.2307692307695, 'Mean of Ground Truth': 6608.461538461538, 'R2': 0.70716776279823}, 'major_axis_length': {'RMSE': 36.064879847092826, 'Mean of Predictions': 105.25800576240233, 'Mean of Ground Truth': 111.17646917550226, 'R2': 0.6930561541289879}, 'minor_axis_length': {'RMSE': 20.823822885221443, 'Mean of Predictions': 58.18344338824269, 'Mean of Ground Truth': 58.36215534729073, 'R2': 0.5968800802502372}, 'eccentricity': {'RMSE': 0.09399841508448731, 'Mean of Predictions': 0.773997447909777, 'Mean of Ground Truth': 0.7959759126902066, 'R2': 0.6155501257866964}, 'equivalent_diameter': {'RMSE': 19.86364499165515, 'Mean of Predictions': 70.89027238587983, 'Mean of Ground Truth': 73.31219612626862, 'R2': 0.7189859858919815}, 'euler_number': {'RMSE': 0.2773500981126146, 'Mean of Predictions': 0.9903846153846154, 'Mean of Ground Truth': 0.9519230769230769, 'R2': 0.08671789242590544}, 'extent': {'RMSE': 0.12466151647211868, 'Mean of Predictions': 0.6317729572045002, 'Mean of Ground Truth': 0.586158196841169, 'R2': 0.0875903278909892}, 'feret_diameter_max': {'RMSE': 34.439231952417394, 'Mean of Predictions': 109.0834897907714, 'Mean of Ground Truth': 113.59540149847966, 'R2': 0.728128305280531}, 'perimeter': {'RMSE': 130.77574049460364, 'Mean of Predictions': 326.9819089275483, 'Mean of Ground Truth': 324.94062723809895, 'R2': 0.5884126984351099}, 'solidity': {'RMSE': 0.08631594400262399, 'Mean of Predictions': 0.8378881206523464, 'Mean of Ground Truth': 0.8579297376462571, 'R2': 0.5154492611364616}}
Cu-Ni-Powder_250x_6_SE_V1_png.rf.e53ddff8f68997450136adf624221578 (YOLO): Detections=100, IoU=0.6254, Prec=0.8510, Rec=0.7167, Morph={'area': {'RMSE': 5982.101634877161, 'Mean of Predictions': 5258.41, 'Mean of Ground Truth': 7763.46, 'R2': 0.24694331794960567}, 'area_convex': {'RMSE': 8782.4919624216, 'Mean of Predictions': 6591.61, 'Mean of Ground Truth': 9977.48, 'R2': 0.13263927154240862}, 'major_axis_length': {'RMSE': 68.21794075267438, 'Mean of Predictions': 105.81439644493808, 'Mean of Ground Truth': 136.2652232662385, 'R2': 0.22962086323846775}, 'minor_axis_length': {'RMSE': 35.33426050942802, 'Mean of Predictions': 58.54278730160783, 'Mean of Ground Truth': 70.99749254554229, 'R2': 0.2748821235715315}, 'eccentricity': {'RMSE': 0.14161799552825474, 'Mean of Predictions': 0.7702094791279391, 'Mean of Ground Truth': 0.7939400327579413, 'R2': 0.10281589604105523}, 'equivalent_diameter': {'RMSE': 37.16492330041637, 'Mean of Predictions': 72.09983692500211, 'Mean of Ground Truth': 88.44483762169251, 'R2': 0.3302324196999915}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.1477745188747905, 'Mean of Predictions': 0.6437384807076151, 'Mean of Ground Truth': 0.5591554571325781, 'R2': -0.6619585356743034}, 'feret_diameter_max': {'RMSE': 66.02105458624487, 'Mean of Predictions': 110.3139183841082, 'Mean of Ground Truth': 140.29801386831548, 'R2': 0.27424521968959736}, 'perimeter': {'RMSE': 238.2456784694543, 'Mean of Predictions': 327.7702412005606, 'Mean of Ground Truth': 416.82364368797664, 'R2': 0.14544261607761755}, 'solidity': {'RMSE': 0.10765330997814786, 'Mean of Predictions': 0.8539332740825342, 'Mean of Ground Truth': 0.8363220747914277, 'R2': -0.17393950146738102}}
HP743_5S_500x_png.rf.9ff406796462449f85c2039537f32d6f (YOLO): Detections=19, IoU=0.7949, Prec=0.9423, Rec=0.8407, Morph={'area': {'RMSE': 9708.231575101074, 'Mean of Predictions': 12312.157894736842, 'Mean of Ground Truth': 16257.0, 'R2': 0.12213693529162073}, 'area_convex': {'RMSE': 12287.117162210781, 'Mean of Predictions': 13309.315789473685, 'Mean of Ground Truth': 18321.473684210527, 'R2': 0.09359692490636085}, 'major_axis_length': {'RMSE': 48.88868783597559, 'Mean of Predictions': 152.41411060449727, 'Mean of Ground Truth': 169.06225372880326, 'R2': 0.3982622268272521}, 'minor_axis_length': {'RMSE': 44.18116597035326, 'Mean of Predictions': 102.69782457649727, 'Mean of Ground Truth': 119.95795509705448, 'R2': 0.24793512772813453}, 'eccentricity': {'RMSE': 0.1019902207305287, 'Mean of Predictions': 0.6572859684308584, 'Mean of Ground Truth': 0.6457185548233627, 'R2': 0.6150383789960809}, 'equivalent_diameter': {'RMSE': 41.35079212481811, 'Mean of Predictions': 118.72159974144944, 'Mean of Ground Truth': 134.92451585297766, 'R2': 0.3145176239483499}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.061012805817013245, 'Mean of Predictions': 0.7048506089556792, 'Mean of Ground Truth': 0.6876438385143023, 'R2': 0.37794095857095655}, 'feret_diameter_max': {'RMSE': 51.647943909568916, 'Mean of Predictions': 156.24008202929852, 'Mean of Ground Truth': 174.44264690237821, 'R2': 0.32057543071583017}, 'perimeter': {'RMSE': 283.2784908687146, 'Mean of Predictions': 460.0796041004174, 'Mean of Ground Truth': 571.8102221730294, 'R2': 0.10444501922036253}, 'solidity': {'RMSE': 0.06419253452044323, 'Mean of Predictions': 0.9180960139787091, 'Mean of Ground Truth': 0.9188024736129361, 'R2': 0.3427215623641858}}
MW_FeMnAl_500_22-11_png.rf.7095906a9fa6befd1eb267219b11b181 (YOLO): Detections=219, IoU=0.6628, Prec=0.7865, Rec=0.8037, Morph={'area': {'RMSE': 3170.9795621482085, 'Mean of Predictions': 2756.4292237442924, 'Mean of Ground Truth': 3558.799086757991, 'R2': 0.3450512031695959}, 'area_convex': {'RMSE': 3376.4754738589136, 'Mean of Predictions': 2945.3698630136987, 'Mean of Ground Truth': 3768.5068493150684, 'R2': 0.3331485298148513}, 'major_axis_length': {'RMSE': 31.290510400025596, 'Mean of Predictions': 60.461804854619466, 'Mean of Ground Truth': 68.35194907745345, 'R2': 0.31887609067734823}, 'minor_axis_length': {'RMSE': 25.83925499172434, 'Mean of Predictions': 47.25700587423433, 'Mean of Ground Truth': 53.442964433188635, 'R2': 0.2850255986361081}, 'eccentricity': {'RMSE': 0.16811139968383093, 'Mean of Predictions': 0.5738019073458677, 'Mean of Ground Truth': 0.5343059457444725, 'R2': 0.42468946569753496}, 'equivalent_diameter': {'RMSE': 27.227145883599214, 'Mean of Predictions': 52.11951625359272, 'Mean of Ground Truth': 58.986375839974876, 'R2': 0.29519910323338105}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 0.9954337899543378, 'Mean of Ground Truth': 0.9954337899543378, 'R2': 1.0}, 'extent': {'RMSE': 0.13402732337795756, 'Mean of Predictions': 0.7927558442379756, 'Mean of Ground Truth': 0.7031188775948933, 'R2': -2.071648381078513}, 'feret_diameter_max': {'RMSE': 33.00047840085358, 'Mean of Predictions': 64.85760897119948, 'Mean of Ground Truth': 71.94635072949117, 'R2': 0.29281200809026364}, 'perimeter': {'RMSE': 103.53540112233232, 'Mean of Predictions': 191.34311751421885, 'Mean of Ground Truth': 212.56095580833963, 'R2': 0.26570972843345564}, 'solidity': {'RMSE': 0.05311188751262958, 'Mean of Predictions': 0.9275092908463551, 'Mean of Ground Truth': 0.9406561265021531, 'R2': 0.4862170026986018}}
OMG_Cu_1250_07_png.rf.ff417e92b36bba2bb91175ce144ff6ab (YOLO): Detections=34, IoU=0.6155, Prec=0.9047, Rec=0.6540, Morph={'area': {'RMSE': 32880.24393202416, 'Mean of Predictions': 19380.058823529413, 'Mean of Ground Truth': 34783.205882352944, 'R2': 0.20421271265096252}, 'area_convex': {'RMSE': 43939.08871682145, 'Mean of Predictions': 23372.352941176472, 'Mean of Ground Truth': 44689.970588235294, 'R2': 0.15394821238574685}, 'major_axis_length': {'RMSE': 175.79185024723697, 'Mean of Predictions': 184.59651218317703, 'Mean of Ground Truth': 280.87809049612724, 'R2': -0.04209617212749528}, 'minor_axis_length': {'RMSE': 87.93599012940452, 'Mean of Predictions': 108.64281030705824, 'Mean of Ground Truth': 149.0743706052967, 'R2': 0.22369223273889516}, 'eccentricity': {'RMSE': 0.12546131969351385, 'Mean of Predictions': 0.7469080103790818, 'Mean of Ground Truth': 0.763277209076794, 'R2': 0.4313479840425434}, 'equivalent_diameter': {'RMSE': 99.29467236468489, 'Mean of Predictions': 131.02961623586936, 'Mean of Ground Truth': 182.7004186431259, 'R2': 0.09612091277717083}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.12592788964640625, 'Mean of Predictions': 0.6572964596704779, 'Mean of Ground Truth': 0.5937968310327875, 'R2': -1.380570117299818}, 'feret_diameter_max': {'RMSE': 175.91309693424677, 'Mean of Predictions': 193.2869500217837, 'Mean of Ground Truth': 287.1428336667099, 'R2': -0.03827721490257385}, 'perimeter': {'RMSE': 695.3687440973938, 'Mean of Predictions': 609.4292873476642, 'Mean of Ground Truth': 985.5345126219613, 'R2': -0.05561802721100961}, 'solidity': {'RMSE': 0.09436153735337334, 'Mean of Predictions': 0.8597531575907696, 'Mean of Ground Truth': 0.818698912612359, 'R2': -0.30389491187628104}}
RHA_00-45_500X07_png.rf.2e24ff0e093484de86e43a21ef7e62cb (YOLO): Detections=14, IoU=0.9431, Prec=0.9624, Rec=0.9790, Morph={'area': {'RMSE': 875.7908262984784, 'Mean of Predictions': 43567.57142857143, 'Mean of Ground Truth': 43041.71428571428, 'R2': 0.9990690227678303}, 'area_convex': {'RMSE': 2524.7195742441236, 'Mean of Predictions': 46135.92857142857, 'Mean of Ground Truth': 44736.42857142857, 'R2': 0.9924814461500624}, 'major_axis_length': {'RMSE': 2.339263853816489, 'Mean of Predictions': 273.22007810992596, 'Mean of Ground Truth': 272.3949748689715, 'R2': 0.9989545765507492}, 'minor_axis_length': {'RMSE': 4.5098468611478575, 'Mean of Predictions': 190.75275840837375, 'Mean of Ground Truth': 188.64164402788168, 'R2': 0.997883720409297}, 'eccentricity': {'RMSE': 0.04465773667073975, 'Mean of Predictions': 0.6599151013467501, 'Mean of Ground Truth': 0.6702845343905667, 'R2': 0.9667027668946865}, 'equivalent_diameter': {'RMSE': 2.335170533116621, 'Mean of Predictions': 217.8606744817881, 'Mean of Ground Truth': 216.3970302593582, 'R2': 0.9993162130942739}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.025786718471389945, 'Mean of Predictions': 0.7153498980944474, 'Mean of Ground Truth': 0.7116018068391308, 'R2': 0.9504209255559268}, 'feret_diameter_max': {'RMSE': 14.256759030951343, 'Mean of Predictions': 292.60240315843265, 'Mean of Ground Truth': 286.63758556236996, 'R2': 0.9686211893725956}, 'perimeter': {'RMSE': 84.82813389559769, 'Mean of Predictions': 860.6372728789404, 'Mean of Ground Truth': 809.6058823980984, 'R2': 0.901163231282159}, 'solidity': {'RMSE': 0.02667324733099827, 'Mean of Predictions': 0.9286504586694859, 'Mean of Ground Truth': 0.9424709432205282, 'R2': 0.8637890671251611}}
Rec-Cu-Ni-Powder_250x_7_SE_V1_png.rf.4c7c94e7a5f2b5ab0a942ce1b6f7193a (YOLO): Detections=124, IoU=0.6886, Prec=0.8308, Rec=0.8135, Morph={'area': {'RMSE': 6693.094260070864, 'Mean of Predictions': 4994.959677419355, 'Mean of Ground Truth': 6808.0887096774195, 'R2': 0.3717231533710127}, 'area_convex': {'RMSE': 8398.560954403958, 'Mean of Predictions': 6087.177419354839, 'Mean of Ground Truth': 7952.2338709677415, 'R2': 0.3491952784747827}, 'major_axis_length': {'RMSE': 51.2396645599495, 'Mean of Predictions': 95.70114339561586, 'Mean of Ground Truth': 106.90446970254081, 'R2': 0.36488365922869614}, 'minor_axis_length': {'RMSE': 32.17236789613021, 'Mean of Predictions': 59.67825576058946, 'Mean of Ground Truth': 67.10882095552458, 'R2': 0.4616056807285128}, 'eccentricity': {'RMSE': 0.12350407418701669, 'Mean of Predictions': 0.726563524996657, 'Mean of Ground Truth': 0.7332280847337955, 'R2': 0.3095995239593714}, 'equivalent_diameter': {'RMSE': 35.78221070417023, 'Mean of Predictions': 70.69435465332909, 'Mean of Ground Truth': 80.04584297605868, 'R2': 0.43371436641702654}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.11210177235939729, 'Mean of Predictions': 0.6865002447602016, 'Mean of Ground Truth': 0.6511812587803997, 'R2': -0.6923758009297094}, 'feret_diameter_max': {'RMSE': 53.44533673253018, 'Mean of Predictions': 100.7002481771601, 'Mean of Ground Truth': 111.1842617970767, 'R2': 0.37215705991206005}, 'perimeter': {'RMSE': 196.3464989031759, 'Mean of Predictions': 306.1941952857663, 'Mean of Ground Truth': 338.6294323732109, 'R2': 0.3453465921989576}, 'solidity': {'RMSE': 0.07281992840355322, 'Mean of Predictions': 0.8766182692693988, 'Mean of Ground Truth': 0.9032032559406497, 'R2': -0.6147292502727444}}
Rec-Cu-Ni-Powder_250x_8_SE_V1_png.rf.cb5407549469443a93d2dc62dd52a6a1 (YOLO): Detections=120, IoU=0.7149, Prec=0.8771, Rec=0.8019, Morph={'area': {'RMSE': 3114.591538227766, 'Mean of Predictions': 4822.733333333334, 'Mean of Ground Truth': 5789.116666666667, 'R2': 0.5154251086492754}, 'area_convex': {'RMSE': 3906.3689725882273, 'Mean of Predictions': 5701.25, 'Mean of Ground Truth': 6783.983333333334, 'R2': 0.48682143766546926}, 'major_axis_length': {'RMSE': 37.65267221091872, 'Mean of Predictions': 97.48734749347686, 'Mean of Ground Truth': 108.85624922064311, 'R2': 0.4572342822930411}, 'minor_axis_length': {'RMSE': 21.82609279483737, 'Mean of Predictions': 59.12855743711605, 'Mean of Ground Truth': 65.47981075343574, 'R2': 0.3417906294401223}, 'eccentricity': {'RMSE': 0.11191865420772645, 'Mean of Predictions': 0.7373085318420316, 'Mean of Ground Truth': 0.7322826839696179, 'R2': 0.5571843295116943}, 'equivalent_diameter': {'RMSE': 24.178724972133555, 'Mean of Predictions': 71.71067077787335, 'Mean of Ground Truth': 79.46975296357247, 'R2': 0.4461241786488679}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.1016586789796456, 'Mean of Predictions': 0.6672905346613417, 'Mean of Ground Truth': 0.627825028097602, 'R2': -0.20344677808681166}, 'feret_diameter_max': {'RMSE': 37.90778756483697, 'Mean of Predictions': 102.55742288060564, 'Mean of Ground Truth': 112.9811769884092, 'R2': 0.47000141055769373}, 'perimeter': {'RMSE': 128.6346159069651, 'Mean of Predictions': 302.1432219807005, 'Mean of Ground Truth': 337.96027667494565, 'R2': 0.38552835497637883}, 'solidity': {'RMSE': 0.06137475403547249, 'Mean of Predictions': 0.8733870839105506, 'Mean of Ground Truth': 0.8824674372547384, 'R2': 0.3353562457359158}}
Rec-Cu-Ni-Powder_250x_9_SE_png.rf.2b9d131a9fe115a2fb24f4512af0c9a6 (YOLO): Detections=14, IoU=0.7818, Prec=0.8758, Rec=0.8896, Morph={'area': {'RMSE': 2584.343975889101, 'Mean of Predictions': 6215.857142857143, 'Mean of Ground Truth': 6720.928571428572, 'R2': 0.7697493656876305}, 'area_convex': {'RMSE': 2916.636847466616, 'Mean of Predictions': 7305.642857142857, 'Mean of Ground Truth': 7739.714285714285, 'R2': 0.8070701981906845}, 'major_axis_length': {'RMSE': 35.41840700298085, 'Mean of Predictions': 115.87076811311549, 'Mean of Ground Truth': 120.25695234093084, 'R2': 0.6502251077759262}, 'minor_axis_length': {'RMSE': 13.997267250789445, 'Mean of Predictions': 64.9492559357082, 'Mean of Ground Truth': 67.09538592949644, 'R2': 0.720175176260073}, 'eccentricity': {'RMSE': 0.026530078123101736, 'Mean of Predictions': 0.7613048369918545, 'Mean of Ground Truth': 0.7671684654584465, 'R2': 0.9624517971240526}, 'equivalent_diameter': {'RMSE': 20.93822361043764, 'Mean of Predictions': 81.94050442729078, 'Mean of Ground Truth': 85.50304386326088, 'R2': 0.648310841040924}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.08644077331482859, 'Mean of Predictions': 0.6590931385575926, 'Mean of Ground Truth': 0.6249063445530406, 'R2': -0.2863514930726714}, 'feret_diameter_max': {'RMSE': 34.348002271435604, 'Mean of Predictions': 119.88899012662016, 'Mean of Ground Truth': 123.19210035685536, 'R2': 0.6812307480550849}, 'perimeter': {'RMSE': 91.86011985836672, 'Mean of Predictions': 340.77189224897563, 'Mean of Ground Truth': 345.74144743451524, 'R2': 0.6822256417239587}, 'solidity': {'RMSE': 0.044966886722736236, 'Mean of Predictions': 0.8667292058033709, 'Mean of Ground Truth': 0.8826393866218266, 'R2': 0.16081389703834326}}
S01_03_SE1_500X11_png.rf.4b7fddca6f3354a728be814c4f62d5ae (YOLO): Detections=38, IoU=0.7640, Prec=0.8653, Rec=0.8125, Morph={'area': {'RMSE': 6519.650014823608, 'Mean of Predictions': 14722.552631578947, 'Mean of Ground Truth': 16608.71052631579, 'R2': 0.6112558900083891}, 'area_convex': {'RMSE': 7095.586493321784, 'Mean of Predictions': 15634.921052631578, 'Mean of Ground Truth': 17644.5, 'R2': 0.5905373096911771}, 'major_axis_length': {'RMSE': 47.01065099706239, 'Mean of Predictions': 147.3188904744045, 'Mean of Ground Truth': 161.85167319967803, 'R2': 0.4435240625095894}, 'minor_axis_length': {'RMSE': 36.64127600429658, 'Mean of Predictions': 108.8081158539647, 'Mean of Ground Truth': 120.19057180088714, 'R2': 0.4421414014804398}, 'eccentricity': {'RMSE': 0.08032362241016637, 'Mean of Predictions': 0.6033066529755513, 'Mean of Ground Truth': 0.5863339494372469, 'R2': 0.8729792336333387}, 'equivalent_diameter': {'RMSE': 39.85220123087632, 'Mean of Predictions': 123.03708460794776, 'Mean of Ground Truth': 135.56357585937215, 'R2': 0.426515794327174}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 0.9736842105263158, 'Mean of Ground Truth': 0.9736842105263158, 'R2': 1.0}, 'extent': {'RMSE': 0.07770424670235801, 'Mean of Predictions': 0.7222163409674437, 'Mean of Ground Truth': 0.6923374803836482, 'R2': 0.6557931135098569}, 'feret_diameter_max': {'RMSE': 50.7086574243513, 'Mean of Predictions': 155.43367337248276, 'Mean of Ground Truth': 169.2439659762821, 'R2': 0.3546242332003454}, 'perimeter': {'RMSE': 166.2728571100482, 'Mean of Predictions': 464.81214189914, 'Mean of Ground Truth': 509.95787166433325, 'R2': 0.3266739945694288}, 'solidity': {'RMSE': 0.04054721367562853, 'Mean of Predictions': 0.9116645436746951, 'Mean of Ground Truth': 0.9191314905920291, 'R2': 0.9342386749231059}}
