                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97231,                 2.3855,                 3.2908,                  1.122,                0.10768,                0.49977,                0.11439,                0.07891,                0.11121,                0.51617,                0.12475,                 0.0833,                 0.6431,                 1.3928,                    inf,                0.92437,                  8e-05,                  8e-05,                  8e-05
                      2,                 0.8812,                 2.1498,                  3.129,                 1.0834,                0.15879,                0.73699,                0.27903,                 0.2176,                0.15818,                0.73418,                0.27998,                0.20785,                0.58726,                 1.2811,                    inf,                0.89941,             0.00017644,             0.00017644,             0.00017644
                      3,                0.79544,                 1.3269,                 2.4226,                0.95889,                 0.1697,                0.78762,                0.38608,                0.27903,                0.17081,                0.79278,                0.39366,                0.28232,                0.74513,                 1.6099,                 2.7072,                0.93161,             0.00026891,             0.00026891,             0.00026891
                      4,                0.79439,                 1.1663,                 1.6445,                0.94072,                0.62922,                0.26535,                0.45856,                0.33477,                0.69493,                0.25598,                0.46604,                0.33311,                0.81933,                  1.599,                 2.3965,                0.91963,             0.00035743,             0.00035743,             0.00035743
                      5,                0.77902,                 1.1397,                 1.2305,                0.95177,                0.85889,                0.43944,                0.63932,                 0.4802,                0.86919,                  0.433,                0.64217,                0.45866,                 0.7935,                  1.324,                 2.2445,                0.90533,             0.00044198,             0.00044198,             0.00044198
                      6,                0.75466,                 1.1186,                 1.0784,                0.92582,                0.94902,                 0.3753,                0.72724,                0.57133,                0.95614,                0.37811,                 0.7281,                0.52597,                0.74221,                 1.1861,                 2.0581,                  0.912,             0.00052258,             0.00052258,             0.00052258
                      7,                 0.7061,                 1.0097,                0.93916,                0.93182,                0.92978,                0.58352,                0.80595,                 0.6459,                0.93351,                0.58586,                0.80537,                0.59666,                0.68373,                 1.0995,                 1.6477,                0.92219,             0.00059922,             0.00059922,             0.00059922
                      8,                 0.7103,                 1.0345,                0.93006,                0.94562,                0.91535,                0.68214,                0.82218,                0.64962,                0.91946,                0.68073,                 0.8208,                0.61552,                0.71053,                 1.0858,                  1.438,                0.94102,             0.00067189,             0.00067189,             0.00067189
                      9,                0.67807,                0.97928,                0.83812,                0.93277,                0.87262,                0.75902,                0.83238,                0.67191,                0.87885,                0.76182,                0.83083,                 0.6207,                0.67017,                 1.1594,                 1.0321,                0.95289,             0.00074061,             0.00074061,             0.00074061
                     10,                0.69523,                 1.0291,                 0.8352,                0.93319,                0.84773,                 0.7759,                0.82851,                0.65764,                0.85306,                0.77839,                0.82987,                0.61585,                0.67404,                 1.1312,                0.95683,                0.94667,             0.00080536,             0.00080536,             0.00080536
                     11,                0.65265,                0.96433,                0.74943,                0.91061,                0.85863,                0.77778,                0.83165,                0.67084,                0.86222,                0.77745,                0.82777,                0.61194,                0.64719,                 1.1667,                0.92717,                0.93801,             0.00086616,             0.00086616,             0.00086616
                     12,                0.62988,                0.93691,                0.72148,                0.90998,                0.83758,                0.79466,                  0.833,                0.67036,                0.85578,                0.77918,                0.82862,                0.61649,                0.62432,                 1.0519,                0.78594,                0.93777,               0.000923,               0.000923,               0.000923
                     13,                0.63067,                0.95676,                0.72103,                0.90716,                0.85567,                0.78434,                0.83762,                0.67229,                0.85992,                0.78567,                 0.8371,                0.63062,                0.60115,                 1.0529,                0.76458,                0.92916,             0.00097587,             0.00097587,             0.00097587
                     14,                  0.607,                0.92788,                0.71646,                0.89722,                 0.8613,                0.78023,                 0.8472,                0.68676,                0.86671,                0.77496,                0.84019,                0.62385,                0.59755,                 1.0102,                0.82129,                0.90477,              0.0010248,              0.0010248,              0.0010248
                     15,                0.63584,                0.95962,                0.71354,                0.90877,                0.82862,                0.77524,                0.81234,                0.65369,                0.84168,                0.75762,                0.80532,                 0.5806,                 0.6042,                 1.1674,                 1.0274,                 0.9025,              0.0010697,              0.0010697,              0.0010697
                     16,                0.57077,                0.81212,                0.66349,                0.90026,                0.81383,                0.76231,                0.79751,                0.63839,                0.81568,                0.75621,                 0.7917,                0.57521,                0.61524,                 1.0448,                 1.0506,                0.90945,              0.0011107,              0.0011107,              0.0011107
                     17,                0.61568,                0.94508,                 0.6857,                0.90105,                0.83526,                0.78247,                0.82531,                0.66188,                0.82925,                0.77168,                0.80544,                0.56471,                 0.5781,                 1.1043,                 1.0146,                0.89372,              0.0011478,              0.0011478,              0.0011478
                     18,                0.59993,                0.90675,                0.66253,                0.89858,                0.83248,                0.80591,                 0.8361,                0.66851,                0.82815,                0.79525,                0.81802,                0.58591,                0.58753,                 1.1112,                0.91733,                0.89048,              0.0011809,              0.0011809,              0.0011809
                     19,                 0.6492,                  0.965,                0.72109,                0.90746,                0.84254,                0.80025,                0.84486,                 0.6805,                0.84526,                0.79231,                0.83189,                0.59813,                0.56943,                 1.1344,                0.86264,                 0.8828,                0.00121,                0.00121,                0.00121
                     20,                0.63349,                0.89849,                0.63926,                0.88843,                0.85948,                0.78293,                 0.8475,                0.68238,                0.87223,                0.76746,                0.83917,                0.60643,                0.61153,                 1.0518,                0.80968,                0.88166,              0.0012351,              0.0012351,              0.0012351
                     21,                0.61307,                 0.8861,                0.64894,                0.89322,                0.85877,                0.78575,                0.84544,                0.67876,                0.87425,                 0.7684,                0.83756,                0.62536,                 0.6198,                 1.0287,                0.73858,                0.88627,               0.001208,               0.001208,               0.001208
                     22,                0.66592,                0.95106,                0.64091,                0.90151,                0.85615,                0.79244,                0.84984,                0.68588,                0.86411,                0.77808,                0.84234,                 0.6359,                0.61686,                  1.026,                 0.7265,                0.88825,              0.0011684,              0.0011684,              0.0011684
                     23,                0.58992,                0.86109,                0.59953,                0.89301,                0.86278,                  0.797,                0.85607,                0.71043,                0.86376,                0.77778,                0.84541,                0.63108,                0.53627,                 1.0096,                0.72498,                0.87779,              0.0011288,              0.0011288,              0.0011288
                     24,                0.62029,                0.87814,                0.61153,                0.89166,                0.88029,                0.79636,                0.86642,                0.71768,                0.87454,                0.78528,                0.85429,                0.64025,                0.52009,                0.94552,                 0.7493,                0.87478,              0.0010892,              0.0010892,              0.0010892
                     25,                0.58575,                0.88565,                0.59839,                0.88109,                0.87211,                0.79278,                0.86274,                0.70935,                0.86591,                0.78714,                0.84832,                0.63281,                0.52747,                0.91374,                 0.8052,                0.88045,              0.0010496,              0.0010496,              0.0010496
                     26,                0.55144,                0.80947,                 0.5979,                0.88207,                0.86031,                0.79693,                0.86239,                0.70991,                0.85934,                0.78766,                0.85183,                0.63934,                0.53758,                0.88649,                0.83482,                0.88607,                0.00101,                0.00101,                0.00101
                     27,                0.56075,                0.82858,                0.60802,                0.88202,                0.87543,                0.75446,                0.84766,                0.69979,                0.87622,                0.74671,                0.83433,                0.62435,                0.53048,                0.89684,                0.82914,                0.89456,              0.0009704,              0.0009704,              0.0009704
                     28,                0.54429,                0.83509,                0.60146,                0.87537,                0.88037,                0.81766,                0.87778,                0.72973,                0.89049,                0.80435,                0.86447,                 0.6482,                0.51624,                0.90203,                0.64231,                0.88942,              0.0009308,              0.0009308,              0.0009308
                     29,                0.54551,                0.80586,                0.61516,                0.88519,                0.88004,                0.82888,                0.87935,                0.73307,                0.88414,                0.81931,                0.87111,                0.65472,                0.52985,                0.89606,                0.63401,                0.89131,              0.0008912,              0.0008912,              0.0008912
                     30,                0.54206,                0.80919,                0.57325,                 0.8702,                0.89553,                0.81341,                 0.8804,                0.73979,                0.89822,                0.80403,                0.87186,                0.66306,                 0.5168,                0.85661,                 0.6342,                 0.8829,              0.0008516,              0.0008516,              0.0008516
                     31,                0.54392,                0.80952,                0.56609,                0.86789,                0.88527,                0.81013,                0.88009,                0.73612,                0.88455,                0.80497,                0.86665,                 0.6635,                0.50724,                0.86256,                0.65415,                0.87957,               0.000812,               0.000812,               0.000812
                     32,                0.52873,                0.76323,                0.57116,                0.87333,                0.88074,                0.81435,                  0.879,                0.73908,                 0.8841,                0.80263,                0.86348,                0.65444,                 0.5079,                0.87864,                0.61846,                0.88541,              0.0007724,              0.0007724,              0.0007724
                     33,                0.52306,                0.77477,                0.58494,                0.87063,                0.87572,                0.82888,                0.88489,                0.74977,                0.88066,                0.81303,                0.86866,                0.66911,                0.49592,                0.89419,                0.60073,                0.88531,              0.0007328,              0.0007328,              0.0007328
                     34,                0.53492,                0.82819,                0.57651,                0.87077,                0.88328,                0.83377,                0.88525,                0.74871,                0.88783,                0.82091,                0.87547,                0.67682,                0.48662,                0.88753,                0.59722,                 0.8857,              0.0006932,              0.0006932,              0.0006932
                     35,                0.54248,                0.81784,                0.55512,                0.86558,                0.88231,                0.83732,                0.88307,                0.74383,                0.87927,                0.82607,                0.87322,                0.66567,                0.50115,                0.88638,                  0.602,                0.89199,              0.0006536,              0.0006536,              0.0006536
                     36,                0.50844,                0.76557,                0.56546,                0.86733,                  0.888,                0.82519,                0.88622,                0.74924,                 0.8818,                0.81903,                0.86937,                0.66221,                0.49599,                0.84705,                0.60282,                0.89062,               0.000614,               0.000614,               0.000614
                     37,                0.50404,                0.74848,                0.55322,                0.86426,                0.89374,                0.82232,                0.88524,                 0.7495,                0.89089,                0.81481,                0.87075,                0.66582,                0.47619,                0.81823,                0.59205,                 0.8802,              0.0005744,              0.0005744,              0.0005744
                     38,                0.50268,                0.74516,                0.53675,                0.85673,                0.88738,                0.83485,                0.88369,                0.74726,                0.88561,                0.82138,                0.87127,                0.66579,                0.48206,                0.81625,                0.56587,                0.88786,              0.0005348,              0.0005348,              0.0005348
                     39,                0.49997,                0.75367,                0.53046,                0.86508,                0.88733,                0.83919,                0.88476,                0.75048,                0.88958,                0.82715,                0.87206,                0.67247,                0.47978,                0.80947,                0.54677,                0.89051,              0.0004952,              0.0004952,              0.0004952
